ad_id,brand,category,price,description
1,Asics,running_shoes,6754,"Asics breathable trainers, priced at Rs 6754."
2,Fjallraven,backpacks,1338,"Fjallraven casual college backpack, priced at Rs 1338."
3,Blue Tokai,coffee,1458,"Blue Tokai medium roast ground coffee, priced at Rs 1458."
4,Vincent Chase,sunglasses,8807,"Vincent Chase retro round sunglasses, priced at Rs 8807."
5,Apple,smartwatches,38029,"Apple AMOLED display smartwatch, priced at Rs 38029."
6,Samsung,smartwatches,9440,"Samsung bluetooth calling smartwatch, priced at Rs 9440."
7,Vincent Chase,sunglasses,5247,"Vincent Chase retro round sunglasses, priced at Rs 5247."
8,Noise,smartwatches,21094,"Noise fitness tracking smartwatch, priced at Rs 21094."
9,Puma,running_shoes,8271,"Puma lightweight running shoes, priced at Rs 8271."
10,Bergner,cookware,2648,"Bergner induction base pressure cooker, priced at Rs 2648."
11,Sennheiser,headphones,17872,"Sennheiser over-ear headphones, priced at Rs 17872."
12,Reebok,running_shoes,5396,"Reebok marathon racing shoes, priced at Rs 5396."
13,Reebok,yoga_mats,3539,"Reebok anti-slip yoga mat, priced at Rs 3539."
14,Lenovo,laptops,107179,"Lenovo thin and light laptop, priced at Rs 107179."
15,Apple,smartwatches,33836,"Apple GPS running watch, priced at Rs 33836."
16,Bloomsbury,books,644,"Bloomsbury programming reference book, priced at Rs 644."
17,American Tourister,backpacks,5518,"American Tourister trekking rucksack, priced at Rs 5518."
18,Puma,running_shoes,7671,"Puma lightweight running shoes, priced at Rs 7671."
19,Wildcraft,backpacks,4401,"Wildcraft trekking rucksack, priced at Rs 4401."
20,HP,laptops,116852,"HP business ultrabook, priced at Rs 116852."
21,Rupa,books,366,"Rupa programming reference book, priced at Rs 366."
22,Reebok,yoga_mats,888,"Reebok extra thick exercise mat, priced at Rs 888."
23,Carrera,sunglasses,5617,"Carrera retro round sunglasses, priced at Rs 5617."
24,Hawkins,cookware,7245,"Hawkins stainless steel cookware set, priced at Rs 7245."
25,Lavazza,coffee,1700,"Lavazza single-origin arabica coffee beans, priced at Rs 1700."
26,Prestige,cookware,6556,"Prestige non-stick frying pan, priced at Rs 6556."
27,Vincent Chase,sunglasses,9518,"Vincent Chase sports sunglasses, priced at Rs 9518."
28,Nike,backpacks,2313,"Nike anti-theft travel backpack, priced at Rs 2313."
29,Noise,smartwatches,23493,"Noise GPS running watch, priced at Rs 23493."
30,Nike,running_shoes,4095,"Nike lightweight running shoes, priced at Rs 4095."
31,Nike,backpacks,4237,"Nike trekking rucksack, priced at Rs 4237."
32,Pigeon,cookware,1186,"Pigeon cast iron skillet, priced at Rs 1186."
33,Fire-Boltt,smartwatches,26093,"Fire-Boltt GPS running watch, priced at Rs 26093."
34,Puma,running_shoes,7666,"Puma breathable trainers, priced at Rs 7666."
35,Boldfit,yoga_mats,1889,"Boldfit extra thick exercise mat, priced at Rs 1889."
36,HarperCollins,books,523,"HarperCollins self-help paperback, priced at Rs 523."
37,OReilly,books,196,"OReilly bestselling fiction novel, priced at Rs 196."
38,Prestige,cookware,6931,"Prestige stainless steel cookware set, priced at Rs 6931."
39,HarperCollins,books,736,"HarperCollins hardcover science book, priced at Rs 736."
40,JBL,headphones,13219,"JBL studio headphones, priced at Rs 13219."
41,Bloomsbury,books,702,"Bloomsbury self-help paperback, priced at Rs 702."
42,Fjallraven,backpacks,2538,"Fjallraven waterproof laptop backpack, priced at Rs 2538."
43,Dell,laptops,50390,"Dell thin and light laptop, priced at Rs 50390."
44,Vincent Chase,sunglasses,8573,"Vincent Chase UV-protection wayfarer sunglasses, priced at Rs 8573."
45,Ray-Ban,sunglasses,10877,"Ray-Ban sports sunglasses, priced at Rs 10877."
46,Penguin,books,821,"Penguin hardcover science book, priced at Rs 821."
47,Skybags,backpacks,1747,"Skybags trekking rucksack, priced at Rs 1747."
48,Davidoff,coffee,1804,"Davidoff cold brew coffee pack, priced at Rs 1804."
49,Amazon Basics,yoga_mats,4338,"Amazon Basics anti-slip yoga mat, priced at Rs 4338."
50,Dell,laptops,84146,"Dell student laptop for everyday use, priced at Rs 84146."
51,Apple,laptops,106784,"Apple business ultrabook, priced at Rs 106784."
52,American Tourister,backpacks,4797,"American Tourister anti-theft travel backpack, priced at Rs 4797."
53,Lavazza,coffee,874,"Lavazza cold brew coffee pack, priced at Rs 874."
54,Oakley,sunglasses,9027,"Oakley UV-protection wayfarer sunglasses, priced at Rs 9027."
55,Nike,running_shoes,5405,"Nike marathon racing shoes, priced at Rs 5405."
56,JBL,headphones,17955,"JBL wireless noise-cancelling headphones, priced at Rs 17955."
57,Fastrack,sunglasses,9837,"Fastrack sports sunglasses, priced at Rs 9837."
58,Apple,smartwatches,21649,"Apple bluetooth calling smartwatch, priced at Rs 21649."
59,Asics,running_shoes,5702,"Asics cushioned road-running shoes, priced at Rs 5702."
60,Nivia,yoga_mats,1734,"Nivia eco-friendly TPE yoga mat, priced at Rs 1734."
61,JBL,headphones,3453,"JBL bluetooth earbuds, priced at Rs 3453."
